paragraph,txt,chapter,type
1,"Omzien naar elkaar, vooruitkijken naar de toekomst Coalitieakkoord 2021 – 2025",Intro,txt
2,"VVD, D66, CDA en ChristenUnie",Intro,txt
3,15 december 2021,Intro,txt
4,"Wij presenteren onze ambitieuze toekomstplannen terwijl Nederland opnieuw in een zware fase van de coronacrisis zit. De afgelopen periode is voor heel veel Nederlanders moeilijk geweest en het einde van corona lijkt helaas nog niet in zicht. Het vergrootglas dat corona vormt, maakt ons nog bewuster van onze gedeelde verantwoordelijkheden en ambities.",Intro,txt
5,"In dit Coalitieakkoord vindt u onze plannen voor de komende kabinetsperiode. Daarbij gaat het onder meer om het tegengaan van klimaatverandering, de aanpak van de stikstofcrisis, het bouwen van nieuwe betaalbare woningen, de verbeteringen in de gezondheidszorg, forse investeringen in onze veiligheid en het tegengaan van ondermijning, het vergroten van de kansengelijkheid en het tegengaan van discriminatie, het verbeteren van de bestaanszekerheid via het aanpakken van onevenwichtigheden op de arbeidsmarkt en het tegengaan van armoede en schulden, het gericht verlagen van belastingen en het investeren in onze toekomstige welvaart via onderwijs en innovatie en een goed vestigingsklimaat voor ondernemers en bedrijven.",Intro,txt
6,"Bij onze ambities hoort ook dat we de overheid zelf verbeteren. Te beginnen bij de verbetering en versnelling van afhandeling van de schade van de gedupeerden van de toeslagenaffaire en de aardbevingsschade in Groningen. De sterke overheid die wij voor ons zien heeft oog voor de menselijke maat, is begrijpelijk, bereikbaar en aanspreekbaar door inwoners, en herstelt op die manier het vertrouwen. Daarom versterken wij de uitvoeringsorganisaties van de overheid.",Intro,txt
7,"De plannen die wij als coalitiepartijen hebben, zijn niet gerealiseerd in één kabinetsperiode en vragen breed maatschappelijk draagvlak. Daarom willen wij samenwerken met lokale overheden, sociale partners en de uitvoeringsorganisaties. Ook vragen de opgaven die er liggen dikwijls een Europese of zelfs mondiale aanpak. Daarom gaat Nederland een voortrekkersrol spelen voor en binnen een sterke en slagvaardige Europese Unie.",Intro,txt
8,"Als wij als politici over de samenleving praten, moeten we ook kritisch naar onszelf kijken. Onderdeel van een nieuwe bestuurscultuur is ook een andere politieke cultuur. Een politiek waarin verschillen worden overbrugd in plaats van worden uitvergroot. We zullen daarom zoeken naar samenwerking met constructieve partijen in de Tweede Kamer. Natuurlijk horen daar stevige inhoudelijke debatten bij. Dat is goed, zolang het met respect gebeurt. Wij keren ons af van retoriek die is gericht op het beschadigen van personen en zullen ons uitspreken tegen kwetsend en dreigend taalgebruik.",Intro,txt
9,"Daarnaast is het cruciaal dat de controlerende en wetgevende taak van volksvertegenwoordigers, zowel van oppositie- als coalitiepartijen, goed tot zijn recht komt. Versterking van de democratische rechtsorde, het fundament van onze samenleving, verdient focus en gezamenlijke inzet van het kabinet en de Tweede Kamer.",Intro,txt
10,"We willen ons richten op concrete verbeteringen in het leven van mensen. Nederlanders willen dat de overheid betrouwbaar is en levert. Dan hebben burgers de ruimte om samen met familie, vrienden, collega’s en vrijwilligers bij een vereniging in de buurt betekenis aan hun leven te geven. Dat is een samenleving waarin de overheid mensen in staat stelt samen de schouders eronder te zetten.",Intro,txt
11,"Kortom, een duurzaam welvarend land voor de huidige en toekomstige generaties, waarin alle inwoners naar vermogen mee kunnen doen. Met het fundament van bestaanszekerheid voor iedereen en het perspectief van vooruitgang in het (samen)leven.",Intro,txt
12,Inhoudsopgave,Intro,txt
13,1. Democratische rechtsorde,1. Democratische rechtsorde,txt
14,Versterking van de democratische rechtsorde,1. Democratische rechtsorde,txt
15,Media,1. Democratische rechtsorde,txt
16,Een betere toekomst voor het hele Koninkrijk,1. Democratische rechtsorde,txt
17,2. Duurzaam land,2. Duurzaam land,txt
18,Klimaat en energie,2. Duurzaam land,txt
19,"Landbouw, Natuur en stikstof",2. Duurzaam land,txt
20,Volkshuisvesting en Ruimtelijk ordening,2. Duurzaam land,txt
21,Infrastructuur,2. Duurzaam land,txt
22,3. Veiligheid en sterke samenleving,3. Veiligheid en sterke samenleving,txt
23,4. Bestaanszekerheid en kansengelijkheid,4. Bestaanszekerheid en kansengelijkheid,txt
24,Onderwijs en ontwikkeling,4. Bestaanszekerheid en kansengelijkheid,txt
25,Arbeidsmarkt en inkomen,4. Bestaanszekerheid en kansengelijkheid,txt
26,Naar een samenleving waar iedereen zichtbaar zichzelf kan zijn 25,4. Bestaanszekerheid en kansengelijkheid,txt
27,Integratie en Inburgering,4. Bestaanszekerheid en kansengelijkheid,txt
28,5. Welvarend land,5. Welvarend land,txt
29,"Ondernemende, innovatieve en eerlijke economie",5. Welvarend land,txt
30,Cultuur en creatieve industrie,5. Welvarend land,txt
31,Digitalisering,5. Welvarend land,txt
32,6. Gezondheid,6. Gezondheid,txt
33,Gezondheidszorg,6. Gezondheid,txt
34,Medisch-ethische vraagstukken,6. Gezondheid,txt
35,7. Internationaal,7. Internationaal,txt
36,Buitenlands beleid,7. Internationaal,txt
37,Migratie,7. Internationaal,txt
38,Bijlage: financiën,Bijlage: financiën,txt
39,1. Democratische rechtsorde,1. Democratische rechtsorde,txt
40,"Versterking van de democratische rechtsorde De democratische rechtsorde is het fundament van onze samenleving. Dit fundament heeft barsten opgelopen. Wij willen het vertrouwen tussen burgers en overheid herstellen. Dat zal alleen gaan als de overheid betrouwbaar is, vertrouwen heeft in burgers en oog heeft voor de menselijke maat. Wij willen werken aan een overheid die transparant, toegankelijk en begrijpelijk is. Ook willen wij, zowel in cultuur als structuur, werken aan een versterking van onze democratische instituties. Zo willen we het onafhankelijk toezicht en de democratische controle op de uitvoerende macht versterken, de toegang tot het recht verbeteren en de invloed van burgers op het beleid vergroten.",1. Democratische rechtsorde,txt
41,Relatie burger-overheid,1. Democratische rechtsorde,txt
42,"We werken aan een overheid die betrouwbaar, dienstbaar, dichtbij en rechtvaardig is. We willen dat mensen altijd persoonlijk in contact kunnen komen met de overheid, bijvoorbeeld via een loket waar mensen terecht kunnen met vragen, en essentiële voorzieningen zo veel mogelijk behouden blijven. Het kabinet zet het programma Werken aan Uitvoering voort. Hierbij trekt het kabinet nadrukkelijk samen op met gemeenten, die als eerste overheid optreden.",1. Democratische rechtsorde,txt
43,"We beoordelen wetten op eenvoud, menselijke maat en uitvoering en verbeteren waar nodig. Het mag niet zo zijn dat mensen die onbedoeld een fout maken, direct als fraudeur worden bestempeld. In de uitvoering moet ruimte zijn om af te wijken als de gevolgen voor mensen onevenredig groot zijn. Waar mogelijk krijgen professionals in de uitvoering meer beslisruimte. We nemen daarvoor hardheidsclausules op in de wet.",1. Democratische rechtsorde,txt
44,"Er komt in lijn met het rapport van de Tijdelijke Commissie Uitvoeringsorganisaties (TCU) (Kamerstuk 35387, nr. 3) meer aandacht voor de uitvoeringstoets door instanties zelf, beter inzicht in mogelijkheden van systemen en ICT, het toetsen van voorstellen uit de Kamer op uitvoerbaarheid, een ‘doenvermogenstoets’, en mogelijk een ’generatietoets’. Grote wetsvoorstellen worden voorafgegaan door een hoofdlijnenbrief. De effecten van wetgeving op de uitvoering worden na één jaar geëvalueerd (invoeringstoets).",1. Democratische rechtsorde,txt
45,We vergroten de toegang tot het recht voor burgers en mkb door griffierechten te verlagen. En we versterken de sociale advocatuur.,1. Democratische rechtsorde,txt
46,"Er komt een laagdrempelige, onafhankelijke fiscale rechtshulp naar voorbeeld van de Amerikaanse ‘Taxpayers Advocate Service’.",1. Democratische rechtsorde,txt
47,"We stimuleren op lokaal niveau mogelijkheden voor burgerparticipatie en burgerinitiatieven, zoals een uitdaagrecht waarbij mensen de mogelijkheid hebben om publieke taken over te nemen van de gemeenten, met de publieke middelen die hiervoor nodig zijn.",1. Democratische rechtsorde,txt
48,Versterken van democratische instituties,1. Democratische rechtsorde,txt
49,We willen een duidelijker scheiding tussen Kamer en kabinet. We willen de controlerende en wetgevende rol van de Kamer versterken Wij willen constructief samenwerken met partijen die verantwoordelijkheid willen nemen en zullen deze samenwerking actief opzoeken. Daarbij voeren we op een open en respectvolle manier het debat.,1. Democratische rechtsorde,txt
50,"We versterken de positie van de Tweede Kamer door aanvullend op de Jetten-gelden (Kamerstuk 35300, nr. 19) de structurele financiering van onder meer de Griffie, dienst Analyse en Onderzoek en bureau Wetgeving te versterken.",1. Democratische rechtsorde,txt
51,"We vragen het kabinet voorstellen te doen om de informatievoorziening aan de Kamer te verbeteren en, indien nodig, de openbaarheid van stukken te verruimen. Er komt meer ruimte voor feitelijke informatie-uitwisseling tussen ambtenaren en Kamerleden. De Archiefwet wordt herzien en consistent geïmplementeerd bij alle departementen en uitvoeringsorganisaties.",1. Democratische rechtsorde,txt
52,"We zorgen dat toezichthouders als de Autoriteit Persoonsgegevens, de Nationale Ombudsman, de Algemene Rekenkamer en het Adviescollege Toetsing Regeldruk en de inspecties extra middelen krijgen om hun taken goed te kunnen uitvoeren.",1. Democratische rechtsorde,txt
53,"Bij benoemingen van topambtenaren via de Algemene Bestuursdienst wordt domeinspecifieke expertise nadrukkelijker van belang, waarbij ook de roulatiesnelheid wordt verlaagd.",1. Democratische rechtsorde,txt
54,We zorgen voor een betere borging van de onafhankelijkheid van inspecties. Het kabinet zal daartoe een voorstel uitwerken voor een Wet op de rijksinspecties.,1. Democratische rechtsorde,txt
55,"De door het kabinet aan de Raad van State en de Kamers voorgelegde voorstellen ter uitvoering van de staatscommissie Parlementair stelsel (commissie-Remkes), worden (verder) in behandeling genomen.",1. Democratische rechtsorde,txt
56,"We nemen de uitwerking van constitutionele toetsing ter hand, in lijn met het advies van de staatscommissie Parlementair stelsel, waarbij we kijken welke vormgeving het best aansluit bij het Nederlandse rechtssysteem.",1. Democratische rechtsorde,txt
57,We bezinnen ons op de positie van het lokale bestuur en de positie van de burgemeester daarbinnen om het toekomstbestendig te maken.,1. Democratische rechtsorde,txt
58,"Wanneer het algemeen belang dit noodzakelijk maakt, zal het kabinet, met inachtneming van de lokale autonomie en passende waarborgen, gebruik maken van de mogelijkheid een aanwijzing te geven aan de medeoverheden.",1. Democratische rechtsorde,txt
59,"Om een stabielere financiering voor de medeoverheden te realiseren en hun autonomie te vergroten, wordt in de komende jaren een nieuwe financieringssystematiek voor de periode na 2025 uitgewerkt, waarbij de mogelijkheid voor een groter eigen belastinggebied wordt betrokken. Daarbij worden ook alternatieven voor de OZB en MRB in de beschouwing betrokken. In de huidige kabinetsperiode zal de financiering van de medeoverheden grotendeels worden vormgegeven via de accres systematiek.",1. Democratische rechtsorde,txt
60,"Daarnaast wordt de oploop van de opschalingskorting deze kabinetsperiode geschrapt, krijgen de medeoverheden via een specifieke uitkering middelen voor de uitvoering van het klimaatbeleid, en wordt in lijn met de uitspraak van de commissie van wijzen additionele financiering voor jeugdzorg beschikbaar gesteld. Vanaf 2024 worden in aanvulling op de huidige hervormingsagenda extra beleidsmaatregelen in de jeugdzorg genomen. Daarbij kan gedacht worden aan (een combinatie van) normeren van de behandelduur of het introduceren van een eigen bijdrage.",1. Democratische rechtsorde,txt
61,Kinderopvangtoeslagaffaire,1. Democratische rechtsorde,txt
62,"De kinderopvangtoeslagaffaire heeft gedupeerde ouders en hun kinderen groot onrecht aangedaan met ernstige gevolgen voor alle facetten van hun leven. Om hen recht te doen, is ruimhartige compensatie en emotionele heling cruciaal.",1. Democratische rechtsorde,txt
63,"In de recente herijking van de hersteloperatie is samen met ouders, gemeenten en andere betrokken partijen gezocht naar opties voor versnelling en verbetering. Het succes van deze herijking is cruciaal om beter in de behoeften van ouders en kinderen te voorzien, onder andere door eerder persoonlijk contact, een grotere rol voor gemeenten om ouders een vast aanspreekpunt en gerichtere ondersteuning te bieden, en meer aandacht voor emotioneel herstel in het hele proces.",1. Democratische rechtsorde,txt
64,"Daarbij geven ouders duidelijk aan behoefte te hebben aan rust en duidelijkheid. Zorgvuldigheid, recht doen aan verschillen en echte hulp bieden zijn daarom de uitgangspunten. Dat kost tijd en de hersteloperatie zal dan ook zeker tot 2023 lopen, en mogelijk langer.",1. Democratische rechtsorde,txt
65,"Voor herstel van vertrouwen en verbetering voor de toekomst is meer nodig dan financieel herstel en emotionele heling van de getroffen ouders en kinderen. We hebben de ambitie om de toeslagen af te schaffen, zodat mensen niet meer verdwalen in de ingewikkelde regelingen of te maken krijgen met hoge terugvorderingen. Daarom voeren we de komende jaren een fundamentele herziening van de kinderopvang toeslag door. In stappen verhogen we de vergoeding van de kinderopvang tot 95% voor werkende ouders. De toeslag wordt daarnaast direct uitgekeerd aan kinderopvanginstellingen zodat ouders niet meer worden geconfronteerd met hoge terugvorderingen. Ouders betalen alleen nog een kleine eigen bijdrage. Ook hervormen en vereenvoudigen we de huurtoeslag. In de tussentijd gaan we door met verbeteringen in het huidige toeslagenstelsel (Kamerstuk 31066, nr. 898).",1. Democratische rechtsorde,txt
66,"Ook zetten we de brede armoede- en schuldenaanpak met volle kracht door en zorgen voor een betere, verantwoorde overheidsincasso met oog voor de menselijke maat en we nemen bovenstaande maatregelen om de relatie tussen burger en overheid te verbeteren.",1. Democratische rechtsorde,txt
67,Mijnbouwschade Groningen,1. Democratische rechtsorde,txt
68,"De komende jaren is een forse inspanning nodig om het vertrouwen van de Groningers te herstellen. Daartoe wordt de bewoners en ondernemers van het aardbevingsgebied in samenspraak met de regio spoedig perspectief geboden, uitgaande van wat uitvoeringstechnisch realistisch is. Indien nodig wordt hiervoor extra geld beschikbaar gesteld.",1. Democratische rechtsorde,txt
69,"De daarbij te hanteren uitgangspunten zijn: een goed uitlegbare en ruimhartigere afronding van de versterkings- en hersteloperatie; de bewoners voeren daarbij zoveel mogelijk zelf de regie bij de werkzaamheden aan hun eigen woning, waarbij maatwerk het uitgangspunt is; herstel en versterking worden op verzoek van bewoners gezamenlijk aangepakt; ook duurzaam schadeherstel van de fundamenten maakt in principe onderdeel uit van de versterkings- en hersteloperatie.",1. Democratische rechtsorde,txt
70,"Daarbij geldt het beginsel van de “omgekeerde bewijslast”. Ter bespoediging van de afhandeling van gecompliceerde situaties wordt een mandaatregeling nader uitgewerkt.Media Persvrijheid is onmisbaar voor een goed functionerende democratie. Zowel nationaal, regionaal als lokaal. We zien dat journalisten steeds vaker met bedreigingen en agressie te maken krijgen. Dat is onacceptabel. We staan pal voor onze persvrijheid. We werken daarom aan een veilig klimaat waarin journalisten hun belangrijke werk kunnen doen. Daarbij zetten we de strijd tegen desinformatie en nepnieuws voort.",1. Democratische rechtsorde,txt
71,"De publieke omroep is geworteld in de samenleving, representeert verschillende maatschappelijke stromingen en verzorgt een pluriform, onafhankelijk en hoogwaardig media- aanbod. Deze onafhankelijke, pluriforme informatievoorziening staat onder druk. Media en de toegang tot informatie worden meer en meer gedomineerd door grote en veelal buitenlandse",1. Democratische rechtsorde,txt
72,"commerciële ondernemingen. Om die dominantie te voorkomen wordt de Mededingingswet gemoderniseerd. Het is het extra belangrijk dat er een publiek media domein is: een herkenbare, onafhankelijke en betrouwbare bron van informatie.",1. Democratische rechtsorde,txt
73,"We zetten de maatregelen uit de visiebrief over de toekomst van het mediabestel (Kamerstuk 32827, nr. 157) daarom voort, waaronder het stapsgewijs halveren van reclame op de lineaire kanalen van de publieke omroep en het versterken van de samenwerking door publieke en private mediapartijen om Nederlandse content gezamenlijk aan te bieden. Ook voeren we een investeringsplicht in voor grote buitenlandse streamingsdiensten.",1. Democratische rechtsorde,txt
74,We breiden het budget voor onderzoeksjournalistiek uit.,1. Democratische rechtsorde,txt
